filepath,label,source_file,source_dataset
data/external/tess_processed/fearful/tess_fearful_0001.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_back_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0002.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_bar_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0003.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_base_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0004.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_bath_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0005.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_bean_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0006.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_beg_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0007.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_bite_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0008.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_boat_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0009.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_bone_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0010.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_book_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0011.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_bought_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0012.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_burn_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0013.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_cab_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0014.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_calm_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0015.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_came_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0016.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_cause_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0017.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_chain_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0018.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_chair_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0019.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_chalk_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0020.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_chat_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0021.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_check_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0022.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_cheek_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0023.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_chief_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0024.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_choice_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0025.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_cool_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0026.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_dab_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0027.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_date_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0028.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_dead_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0029.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_death_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0030.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_deep_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0031.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_dime_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0032.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_dip_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0033.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_ditch_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0034.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_dodge_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0035.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_dog_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0036.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_doll_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0037.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_door_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0038.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_fail_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0039.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_fall_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0040.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_far_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0041.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_fat_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0042.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_fit_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0043.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_five_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0044.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_food_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0045.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_gap_fear.wav,TESS
data/external/tess_processed/fearful/tess_fearful_0046.wav,fearful,/Users/celinajoudi/.cache/kagglehub/datasets/orvile/toronto-emotional-speech-set-tess/versions/1/OAF_gas_fear.wav,TESS
