filepath,label
data/processed/0012_Surprised_4_processed.wav,surprised
data/processed/0013_Surprised_1_processed.wav,surprised
data/processed/0013_Surprised_2_processed.wav,surprised
data/processed/0013_Surprised_3_processed.wav,surprised
data/processed/0013_Surprised_4_processed.wav,surprised
data/processed/0014_Surprised_1_processed.wav,surprised
data/processed/0014_Surprised_3_processed.wav,surprised
data/processed/0015_Surprised_1_processed.wav,surprised
data/processed/0015_Surprised_3_processed.wav,surprised
data/processed/0015_Surprised_5_processed.wav,surprised
data/processed/2003755_angry_RAVDESS_01_processed.wav,angry
data/processed/2003755_angry_RAVDESS_02_processed.wav,angry
data/processed/2003755_angry_RAVDESS_03_processed.wav,angry
data/processed/2003755_angry_RAVDESS_04_processed.wav,angry
data/processed/2003755_angry_RAVDESS_05_processed.wav,angry
data/processed/2003755_angry_RAVDESS_06_processed.wav,angry
data/processed/2003755_angry_RAVDESS_07_processed.wav,angry
data/processed/2003755_angry_RAVDESS_08_processed.wav,angry
data/processed/2003755_fearful_RAVDESS_01_processed.wav,sad
data/processed/2003755_fearful_RAVDESS_02_processed.wav,fearful
data/processed/2003755_fearful_RAVDESS_03_processed.wav,fearful
data/processed/2003755_fearful_RAVDESS_04_processed.wav,fearful
data/processed/2003755_fearful_RAVDESS_05_processed.wav,fearful
data/processed/2003755_fearful_RAVDESS_06_processed.wav,fearful
data/processed/2003755_fearful_RAVDESS_07_processed.wav,fearful
data/processed/2003755_fearful_RAVDESS_08_processed.wav,fearful
data/processed/2003755_happy_RAVDESS_01_processed.wav,happy
data/processed/2003755_happy_RAVDESS_02_processed.wav,happy
data/processed/2003755_happy_RAVDESS_03_processed.wav,happy
data/processed/2003755_happy_RAVDESS_04_processed.wav,happy
data/processed/2003755_happy_RAVDESS_05_processed.wav,happy
data/processed/2003755_happy_RAVDESS_06_processed.wav,happy
data/processed/2003755_happy_RAVDESS_07_processed.wav,happy
data/processed/2003755_happy_RAVDESS_08_processed.wav,happy
data/processed/2003755_happy_RAVDESS_09_processed.wav,happy
data/processed/2003755_neutral_RAVDESS_01_processed.wav,neutral
data/processed/2003755_neutral_RAVDESS_02_processed.wav,neutral
data/processed/2003755_neutral_RAVDESS_03_processed.wav,neutral
data/processed/2003755_neutral_RAVDESS_04_processed.wav,neutral
data/processed/2003755_neutral_RAVDESS_05_processed.wav,neutral
data/processed/2003755_neutral_RAVDESS_06_processed.wav,neutral
data/processed/2003755_neutral_RAVDESS_07_processed.wav,neutral
data/processed/2003755_neutral_RAVDESS_08_processed.wav,neutral
data/processed/2003755_neutral_RAVDESS_09_processed.wav,neutral
data/processed/2003755_sad_RAVDESS_01_processed.wav,sad
data/processed/2003755_sad_RAVDESS_02_processed.wav,sad
data/processed/2003755_sad_RAVDESS_03_processed.wav,sad
data/processed/2003755_sad_RAVDESS_04_processed.wav,sad
data/processed/2003755_sad_RAVDESS_05_processed.wav,sad
data/processed/2003755_sad_RAVDESS_06_processed.wav,sad
data/processed/2003755_sad_RAVDESS_07_processed.wav,sad
data/processed/2003755_sad_RAVDESS_08_processed.wav,sad
data/processed/2003755_surprized_RAVDESS_01_processed.wav,surprised
data/processed/2003755_surprized_RAVDESS_02_processed.wav,surprised
data/processed/2003755_surprized_RAVDESS_03_processed.wav,surprised
data/processed/2003755_surprized_RAVDESS_04_processed.wav,surprised
data/processed/2003755_surprized_RAVDESS_05_processed.wav,surprised
data/processed/2003755_surprized_RAVDESS_06_processed.wav,surprised
data/processed/2003755_surprized_RAVDESS_07_processed.wav,surprised
