filepath,label
data/external/tess_processed/fearful/tess_fearful_0273.wav,fearful
data/external/esd_processed/neutral/esd_neutral_0433.wav,neutral
data/external/tess_processed/fearful/tess_fearful_0169.wav,fearful
data/processed/2103458_sad_processed.wav,sad
data/external/esd_processed/sad/esd_sad_0681.wav,sad
data/external/tess_processed/fearful/tess_fearful_0328.wav,fearful
data/external/esd_processed/neutral/esd_neutral_0492.wav,neutral
data/external/tess_processed/fearful/tess_fearful_0107.wav,fearful
data/external/esd_processed/sad/esd_sad_0709.wav,sad
data/external/esd_processed/angry/esd_angry_0164.wav,angry
data/external/esd_processed/sad/esd_sad_0672.wav,sad
data/external/esd_processed/neutral/esd_neutral_0537.wav,neutral
data/external/esd_processed/sad/esd_sad_0693.wav,sad
data/external/esd_processed/surprised/esd_surprised_0971.wav,surprised
data/processed/neutral_03_processed.wav,neutral
data/external/esd_processed/angry/esd_angry_0048.wav,angry
data/external/tess_processed/fearful/tess_fearful_0392.wav,fearful
data/external/esd_processed/happy/esd_happy_0285.wav,happy
data/external/esd_processed/surprised/esd_surprised_0893.wav,surprised
data/external/esd_processed/surprised/esd_surprised_0887.wav,surprised
data/external/esd_processed/neutral/esd_neutral_0493.wav,neutral
data/processed/surprised_01_processed.wav,surprised
data/external/esd_processed/angry/esd_angry_0035.wav,angry
data/external/esd_processed/surprised/esd_surprised_0861.wav,surprised
data/external/esd_processed/angry/esd_angry_0081.wav,angry
data/external/esd_processed/angry/esd_angry_0177.wav,angry
data/processed/2003755_happy_RAVDESS_09_processed.wav,happy
data/external/tess_processed/fearful/tess_fearful_0034.wav,fearful
data/external/esd_processed/surprised/esd_surprised_0826.wav,surprised
data/external/esd_processed/neutral/esd_neutral_0556.wav,neutral
data/external/esd_processed/sad/esd_sad_0654.wav,sad
data/processed/neutral_06_processed.wav,neutral
data/external/esd_processed/happy/esd_happy_0353.wav,happy
data/external/esd_processed/angry/esd_angry_0064.wav,angry
data/external/tess_processed/fearful/tess_fearful_0355.wav,fearful
data/external/esd_processed/neutral/esd_neutral_0559.wav,neutral
data/external/esd_processed/sad/esd_sad_0651.wav,sad
data/external/tess_processed/fearful/tess_fearful_0028.wav,fearful
data/external/esd_processed/sad/esd_sad_0800.wav,sad
data/external/tess_processed/fearful/tess_fearful_0353.wav,fearful
data/processed/fearful_05_processed.wav,fearful
data/external/esd_processed/happy/esd_happy_0372.wav,happy
data/external/tess_processed/fearful/tess_fearful_0140.wav,fearful
data/processed/2103458_neutral9_processed.wav,neutral
data/external/tess_processed/fearful/tess_fearful_0005.wav,fearful
data/external/tess_processed/fearful/tess_fearful_0314.wav,fearful
data/external/esd_processed/happy/esd_happy_0234.wav,happy
data/external/esd_processed/surprised/esd_surprised_0889.wav,surprised
data/external/esd_processed/angry/esd_angry_0100.wav,angry
data/external/esd_processed/angry/esd_angry_0187.wav,angry
data/external/tess_processed/fearful/tess_fearful_0098.wav,fearful
